Sample ID,Treatment,Treatment Details,Barcode,antibody,replicate,Flag,Normalized
M211,Sham,Sham-1,21361,44-722G,1,0,4047
M211,Sham,Sham-1,21361,44-864,0,0,1936
M211,Sham,Sham-1,21361,44-864,1,0,717
M211,Sham,Sham-1,21361,44-965,0,0,1548
M211,Sham,Sham-1,21361,44-965,1,0,1378
M211,Sham,Sham-1,21361,44-976G,0,0,1243
M211,Sham,Sham-1,21361,44-976G,1,0,1588
M211,Sham,Sham-1,21361,44-992G,0,0,37
M211,Sham,Sham-1,21361,44-992G,1,0,36
M211,Sham,Sham-1,21361,610087,0,0,1201
M211,Sham,Sham-1,21361,610087,1,0,1363
M211,Sham,Sham-1,21361,610122,0,0,4889
M211,Sham,Sham-1,21361,610122,1,0,3986
M211,Sham,Sham-1,21361,610145,0,0,135
M211,Sham,Sham-1,21361,610145,1,0,177
M211,Sham,Sham-1,21361,610151,0,0,1914
M211,Sham,Sham-1,21361,610151,1,0,2196
M211,Sham,Sham-1,21361,610204,0,0,1513
M211,Sham,Sham-1,21361,610204,1,0,1289
M211,Sham,Sham-1,21361,610236,0,0,4781
M211,Sham,Sham-1,21361,610236,1,0,3539
M211,Sham,Sham-1,21361,610270,0,0,4484
M211,Sham,Sham-1,21361,610270,1,0,4328
M211,Sham,Sham-1,21361,610551,0,0,7385
M211,Sham,Sham-1,21361,610551,1,0,7277
M211,Sham,Sham-1,21361,610981,0,0,1538
M211,Sham,Sham-1,21361,610981,1,1,2137
M211,Sham,Sham-1,21361,71-2300,0,0,1206
M211,Sham,Sham-1,21361,71-2300,1,0,803
M211,Sham,Sham-1,21361,9205L,0,0,1659
M211,Sham,Sham-1,21361,9205L,1,0,1051
M211,Sham,Sham-1,21361,9261L,0,0,4075
M211,Sham,Sham-1,21361,9261L,1,1,4196
M211,Sham,Sham-1,21361,9375L,0,0,4410
M211,Sham,Sham-1,21361,9375L,1,0,3531
M211,Sham,Sham-1,21361,9595L,0,0,1587
M211,Sham,Sham-1,21361,9595L,1,0,1709
M211,Sham,Sham-1,21361,AB10424,0,1,336
M211,Sham,Sham-1,21361,AB10424,1,0,290
M211,Sham,Sham-1,21361,AF1518,0,0,262
M211,Sham,Sham-1,21361,AF1518,1,0,510
M211,Sham,Sham-1,21361,AHO0352,0,0,3226
M211,Sham,Sham-1,21361,AHO0352,1,0,2283
M211,Sham,Sham-1,21361,AHZ0122,0,0,230
M211,Sham,Sham-1,21361,AHZ0122,1,0,419
M211,Sham,Sham-1,21361,AHZ0352,0,0,1138
M211,Sham,Sham-1,21361,AHZ0352,1,0,1147
M211,Sham,Sham-1,21361,AP2001a,0,0,291
M211,Sham,Sham-1,21361,AP2001a,1,0,692
M211,Sham,Sham-1,21361,AP2014b,0,0,470
M211,Sham,Sham-1,21361,AP2014b,1,0,501
M211,Sham,Sham-1,21361,AP3213a,0,0,254
M211,Sham,Sham-1,21361,AP3213a,1,1,247
M211,Sham,Sham-1,21361,AP7003a,0,0,1933
M211,Sham,Sham-1,21361,AP7003a,1,0,1744
M211,Sham,Sham-1,21361,AP7007a,0,0,639
M211,Sham,Sham-1,21361,AP7007a,1,1,624
M211,Sham,Sham-1,21361,AP7034b,0,0,455
M211,Sham,Sham-1,21361,AP7034b,1,0,594
M211,Sham,Sham-1,21361,AP7035a,0,0,2031
M211,Sham,Sham-1,21361,AP7035a,1,0,1446
M211,Sham,Sham-1,21361,AP7214a,0,0,1627
M211,Sham,Sham-1,21361,AP7214a,1,0,1287
M211,Sham,Sham-1,21361,AP7217b,0,0,5558
M211,Sham,Sham-1,21361,AP7217b,1,0,3395
M211,Sham,Sham-1,21361,AP7218a,0,0,1344
M211,Sham,Sham-1,21361,AP7218a,1,0,920
M211,Sham,Sham-1,21361,AP7219a,0,0,745
M211,Sham,Sham-1,21361,AP7219a,1,0,1469
M211,Sham,Sham-1,21361,AP7400a,0,0,719
M211,Sham,Sham-1,21361,AP7400a,1,0,1137
M211,Sham,Sham-1,21361,AP7402a,0,0,866
M211,Sham,Sham-1,21361,AP7402a,1,0,883
M211,Sham,Sham-1,21361,AP7403a,0,0,1128
M211,Sham,Sham-1,21361,AP7403a,1,0,1026
M211,Sham,Sham-1,21361,AP7406a,0,0,1575
M211,Sham,Sham-1,21361,AP7406a,1,0,1030
M211,Sham,Sham-1,21361,AP7408c,0,0,642
M211,Sham,Sham-1,21361,AP7408c,1,0,676
M211,Sham,Sham-1,21361,AP7500a,0,0,235
M211,Sham,Sham-1,21361,AP7500a,1,1,590
M211,Sham,Sham-1,21361,AP7501a,0,0,1742
M211,Sham,Sham-1,21361,AP7501a,1,0,804
M211,Sham,Sham-1,21361,AP7502a,0,0,554
M211,Sham,Sham-1,21361,AP7502a,1,0,1000
M211,Sham,Sham-1,21361,AP7503a,0,0,322
M211,Sham,Sham-1,21361,AP7503a,1,0,330
M211,Sham,Sham-1,21361,AP7512a,0,0,1188
M211,Sham,Sham-1,21361,AP7512a,1,0,1068
M211,Sham,Sham-1,21361,AP7514a,0,0,2553
M211,Sham,Sham-1,21361,AP7514a,1,0,1754
M211,Sham,Sham-1,21361,AP7518b,0,0,1600
M211,Sham,Sham-1,21361,AP7518b,1,0,1576
M211,Sham,Sham-1,21361,AP7524a,0,0,488
M211,Sham,Sham-1,21361,AP7524a,1,0,266
M211,Sham,Sham-1,21361,AP7529a,0,0,913
M211,Sham,Sham-1,21361,AP7529a,1,0,651
M211,Sham,Sham-1,21361,AP7530a,0,0,635
M211,Sham,Sham-1,21361,AP7530a,1,0,339
M211,Sham,Sham-1,21361,AP7531a,0,0,1721
M211,Sham,Sham-1,21361,AP7531a,1,0,1861
M211,Sham,Sham-1,21361,AP7532a,0,0,1401
M211,Sham,Sham-1,21361,AP7532a,1,0,1432
M211,Sham,Sham-1,21361,AP7534a,0,0,1044
M211,Sham,Sham-1,21361,AP7534a,1,0,1040
M211,Sham,Sham-1,21361,AP7535a,0,0,197
M211,Sham,Sham-1,21361,AP7535a,1,0,200
M211,Sham,Sham-1,21361,AP7536b,0,0,2189
M211,Sham,Sham-1,21361,AP7536b,1,0,1605
M211,Sham,Sham-1,21361,AP7542b,0,0,70
M211,Sham,Sham-1,21361,AP7542b,1,0,112
